76
1	1	1	1	0
8	2	1	1	0
9	1	2	1	0
9	2	2	1	1
10	2	2	2	0
32	3	1	1	0
33	1	2	1	0
33	3	2	1	0
40	2	2	1	0
40	3	2	1	0
41	1	3	1	0
41	2	3	1	1
41	3	3	1	1
42	2	3	2	0
42	3	3	1	2
42	3	3	2	2
50	3	3	2	1
50	3	3	3	3
51	3	3	3	3
82	3	3	4	0
83	3	3	4	0
128	4	1	1	0
129	1	2	1	0
129	4	2	1	0
136	2	2	1	0
136	4	2	1	0
137	1	3	1	0
137	2	3	1	1
137	4	3	1	1
138	2	3	2	0
138	4	3	1	2
138	4	3	2	2
146	4	3	2	1
146	4	3	3	0
147	4	3	3	0
160	3	2	1	0
160	4	2	1	0
161	1	3	1	0
161	3	3	1	0
161	4	3	1	0
168	2	3	1	0
168	3	3	1	0
168	4	3	1	0
169	1	4	1	0
169	2	4	1	1
169	3	4	1	1
169	4	4	1	1
170	2	4	2	0
170	3	4	1	2
170	3	4	2	2
170	4	4	1	2
170	4	4	2	2
178	3	4	1	1
178	3	4	2	0
178	3	4	3	0
178	4	4	2	3
178	4	4	3	3
179	3	4	1	1
179	3	4	2	2
180	3	4	2	2
187	3	4	3	0
188	3	4	3	3
210	4	4	1	1
210	4	4	3	0
210	4	4	4	0
211	4	4	1	1
211	4	4	2	2
212	4	4	2	2
219	4	4	3	3
220	3	4	4	4
220	4	4	3	3
251	4	4	4	4
252	4	4	4	4
348	3	4	5	0
379	4	4	5	0
380	4	4	5	0
